timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729273785971,123,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-33",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,123,0,67
1729273785769,123,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-33",,true,,1105,1319,1,1,null,123,210,67
1729273786497,154,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-34",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,154,0,54
1729273786296,154,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-34",,true,,1105,1319,1,1,null,154,207,54
1729273787015,61,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-35",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,61,0,5
1729273786813,61,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-35",,true,,1105,1319,1,1,null,61,209,5
1729273787535,58,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-36",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,58,0,5
1729273787333,58,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-36",,true,,1105,1319,1,1,null,58,210,5
1729273788055,79,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-37",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,78,0,31
1729273787853,79,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-37",,true,,1105,1319,1,1,null,78,211,31
1729273788576,107,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-38",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,107,0,22
1729273788373,107,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-38",,true,,1105,1319,1,1,null,107,210,22
1729273789094,53,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-39",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,53,0,6
1729273788892,53,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-39",,true,,1105,1319,1,1,null,53,208,6
1729273789618,79,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-40",text,true,,1105,1316,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,79,0,5
1729273789416,79,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-40",,true,,1105,1316,1,1,null,79,210,5
1729273790149,52,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-41",text,true,,1105,1319,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,51,0,4
1729273789947,52,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-41",,true,,1105,1319,1,1,null,51,211,4
1729273790669,153,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-42",text,true,,1105,1318,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,153,0,79
1729273790467,153,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-42",,true,,1105,1318,1,1,null,153,209,79
1729273791191,123,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-43",text,true,,1105,1324,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,123,0,69
1729273790990,123,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-43",,true,,1105,1324,1,1,null,123,209,69
1729273791707,68,CreateOrUpdateCsdHierElmVtc,200,,"Creation - Role, Employee and Office 1-44",text,true,,1105,1320,1,1,http://172.16.8.56:8001/api-gateway/api/v1/createOrUpdateCsdHierElmVtc,68,0,6
1729273791506,68,VTC,200,"Number of samples in transaction : 1, number of failing samples : 0","Creation - Role, Employee and Office 1-44",,true,,1105,1320,1,1,null,68,209,6
